adj_cluster_id,cluster_id,group,depth,amplitude,region,probe
4,4,good,34.29509012862874,228.41139666835318,thalamus,posterior
9,9,mua,24.922440476190477,215.05667545223673,thalamus,posterior
11,11,mua,1390.2515210176991,721.182332713646,thalamus,posterior
15,15,good,1383.4082895384058,344.9575983556766,thalamus,posterior
16,16,good,880.0,540.9601137273149,thalamus,posterior
17,17,good,1260.6389662027832,399.8787478461891,thalamus,posterior
19,19,unsorted,766.5225393630024,227.03562988545738,thalamus,posterior
24,24,mua,3222.2497079439254,215.60770210044865,v1,posterior
26,26,good,274.99572639592725,441.3148909762029,thalamus,posterior
27,27,good,938.4947995073218,276.0380452595887,thalamus,posterior
29,29,good,1382.056064257028,206.02789324805667,thalamus,posterior
32,32,good,2490.131529172123,211.89816958627597,hippocampus,posterior
34,34,good,1215.5449987898903,503.86165520881127,thalamus,posterior
38,38,good,88.26774931244769,263.3665663375531,thalamus,posterior
39,39,good,1172.283702716214,455.42263137214866,thalamus,posterior
41,41,good,1401.2050896703738,222.62364232749223,thalamus,posterior
42,42,mua,1015.2770127118644,359.3302184565105,thalamus,posterior
43,43,good,915.1354559629797,148.9337544775884,thalamus,posterior
45,45,good,2585.867061533399,243.11116619118073,hippocampus,posterior
46,46,good,1663.9848617540347,58.74872766106698,hippocampus,posterior
48,48,good,1304.229658125862,475.35075516105263,thalamus,posterior
52,52,good,701.3116211924354,461.3143543836064,thalamus,posterior
55,55,mua,1209.3017861285084,166.43973002412417,thalamus,posterior
57,57,good,983.9097676517032,343.1606226853546,thalamus,posterior
60,60,mua,2632.7492346938775,172.82550265745988,hippocampus,posterior
64,64,mua,1219.22705078125,150.37628001461556,thalamus,posterior
65,65,good,404.9039887307236,219.21431721779646,thalamus,posterior
66,66,good,626.9959609170642,259.51999929276826,thalamus,posterior
67,67,unsorted,3419.999794682271,152.89275873392867,v1,posterior
68,68,good,1275.6261629145658,210.41720769302358,thalamus,posterior
69,69,good,740.0,588.705161489557,thalamus,posterior
72,72,mua,185.67571360930737,157.71382191580935,thalamus,posterior
73,73,mua,846.0993430397727,214.7911992204071,thalamus,posterior
74,74,mua,538.3525,155.8058333622568,thalamus,posterior
75,75,unsorted,372.3813766005013,151.9845353384807,thalamus,posterior
76,76,mua,701.6312016185784,508.09966127598557,thalamus,posterior
80,80,good,1072.037624159727,225.44530767216997,thalamus,posterior
83,83,good,729.851579301946,585.0721609358053,thalamus,posterior
86,86,mua,207.1404172207447,135.21825100526385,thalamus,posterior
88,88,good,654.0242265443918,343.68957531731417,thalamus,posterior
91,91,good,598.040036985668,186.87455445481245,thalamus,posterior
92,92,good,919.644870267247,365.20766486678207,thalamus,posterior
96,96,good,2540.054937759336,133.824534193261,hippocampus,posterior
103,103,good,738.4970077698794,296.8480964108249,thalamus,posterior
105,105,good,2593.4894231761427,206.16081873373898,hippocampus,posterior
107,107,good,1398.4839997465306,380.28392241868823,thalamus,posterior
108,108,good,398.2239467849224,286.5842454085735,thalamus,posterior
109,109,mua,332.02760497667185,315.88286845227753,thalamus,posterior
111,111,good,228.83478969194312,208.0637863080117,thalamus,posterior
115,115,good,376.7564996385851,202.50793461785554,thalamus,posterior
119,119,good,1341.5011034703343,391.88848182454,thalamus,posterior
122,122,mua,1356.7091049382716,305.4437577648187,thalamus,posterior
124,124,good,2621.0177746178456,558.7146298563837,hippocampus,posterior
125,125,mua,622.9944074453551,184.90738870253188,thalamus,posterior
126,126,mua,2590.2507518796992,238.30909541379214,hippocampus,posterior
129,129,good,2935.6776712815054,138.5852188148195,v1,posterior
131,131,mua,1381.1044694767443,150.19758159886447,thalamus,posterior
135,135,good,784.1643594096905,254.04445873091132,thalamus,posterior
136,136,good,1837.2650394831298,209.3319080052894,hippocampus,posterior
142,142,mua,996.0540081521739,184.34114645714752,thalamus,posterior
155,155,mua,632.3401907744875,406.7737223767585,thalamus,posterior
156,156,mua,1220.0691149635036,368.6405420960042,thalamus,posterior
159,159,mua,1368.500102838338,236.07095508620165,thalamus,posterior
160,160,good,1716.0074641524259,65.93757428711112,hippocampus,posterior
165,165,good,56.29651757188498,252.75752540298413,thalamus,posterior
166,166,mua,2042.1655405405406,64.8846284319388,hippocampus,posterior
169,169,good,933.5048461245644,257.13313186935414,thalamus,posterior
171,171,mua,1203.8124057315233,440.19262002757057,thalamus,posterior
179,179,good,504.97801266613146,145.113335940108,thalamus,posterior
181,181,mua,1380.4278846153845,252.73112426988158,thalamus,posterior
184,184,mua,200.9236711281071,149.02457434235035,thalamus,posterior
185,185,good,903.944589702333,336.53666519267205,thalamus,posterior
186,186,good,756.4941628897129,303.1445757655175,thalamus,posterior
187,187,mua,1222.2465581977472,315.7348039069868,thalamus,posterior
195,195,good,781.3989912555585,160.3329106599155,thalamus,posterior
199,199,good,1353.990553219023,372.6139811841785,thalamus,posterior
200,200,good,1022.604773334541,222.7325035627093,thalamus,posterior
202,202,good,3502.0503384094754,264.8055088138828,v1,posterior
203,203,mua,1040.2977851941748,192.4465639600836,thalamus,posterior
204,204,good,656.2350707227282,452.4144187727664,thalamus,posterior
206,206,mua,843.9935745140389,200.68829690993104,thalamus,posterior
216,216,good,494.7084397212063,206.0788843502116,thalamus,posterior
219,219,mua,1019.4185371517028,263.76010983017653,thalamus,posterior
220,220,mua,738.7822436184505,460.87729670778697,thalamus,posterior
221,221,mua,875.1390046296297,309.1470215521531,thalamus,posterior
224,224,mua,1045.6440677966102,281.9022423388495,thalamus,posterior
229,229,good,1807.8854166666667,169.49455719030766,hippocampus,posterior
230,230,mua,820.6017857142857,121.76878869719707,thalamus,posterior
233,233,mua,1039.7697265625,186.13978656220885,thalamus,posterior
234,234,mua,845.7011413043479,380.4073604492156,thalamus,posterior
235,235,good,406.21785432849265,223.64373925498387,thalamus,posterior
238,238,good,2579.191223080049,68.65799437646578,hippocampus,posterior
241,241,good,237.43680129823295,727.2552401634697,thalamus,posterior
243,243,good,407.5425779432294,178.84175426287706,thalamus,posterior
244,244,mua,1906.2176159274193,139.09679596889882,hippocampus,posterior
246,246,good,853.9549457500121,574.2496259998086,thalamus,posterior
247,247,good,3494.1097428824746,158.06601147689804,v1,posterior
248,248,mua,167.6245002998201,120.47519193739303,thalamus,posterior
254,254,mua,896.8433493589744,114.24320215031705,thalamus,posterior
258,258,good,3320.0,238.53133470323957,v1,posterior
259,259,good,1414.4556796655563,222.96378583031847,thalamus,posterior
260,260,mua,3365.0805152979065,79.53603212031037,v1,posterior
262,262,mua,2520.5621268656714,127.80321979182351,hippocampus,posterior
263,263,mua,1014.6768353174604,515.870235180662,thalamus,posterior
265,265,good,2995.3873654980907,102.02357924423086,v1,posterior
267,267,good,2659.003344853613,195.19860857352853,hippocampus,posterior
268,268,good,1450.8817182850398,202.015829442365,thalamus,posterior
269,269,mua,2425.4911612462156,87.44391585418232,hippocampus,posterior
271,271,mua,852.0150240384615,175.6046553483035,thalamus,posterior
272,272,good,1928.797280165956,200.92109976208835,hippocampus,posterior
275,275,mua,1020.2482786016949,227.42396273167108,thalamus,posterior
280,280,mua,234.56245457848837,474.6081753157545,thalamus,posterior
282,282,mua,406.6217439551454,155.3170764683875,thalamus,posterior
291,291,mua,1039.770621827411,273.7481039821694,thalamus,posterior
294,294,mua,2462.586869266055,64.88267774902705,hippocampus,posterior
298,298,mua,1450.2432474874372,153.97490595623887,thalamus,posterior
300,300,mua,772.1171201508621,386.8197839479181,thalamus,posterior
301,301,mua,280.0,123.28922166721827,thalamus,posterior
303,303,mua,1251.0781710914455,450.8886010408985,thalamus,posterior
304,304,mua,1750.0785518021657,64.27244966574395,hippocampus,posterior
305,305,good,315.3147441757826,423.33994642744557,thalamus,posterior
306,306,good,23.91399100933382,285.9259506545566,thalamus,posterior
309,309,mua,680.8589638157895,303.7436460098789,thalamus,posterior
310,310,good,1733.9992503748126,262.3798397029792,hippocampus,posterior
311,311,mua,639.2898910984849,204.68496589234687,thalamus,posterior
316,316,mua,1750.3748717948718,70.1406721001617,hippocampus,posterior
317,317,mua,1429.9986764705882,271.7526879864418,thalamus,posterior
319,319,mua,3460.0,143.76363944425023,v1,posterior
321,321,mua,2603.6664110429447,122.5840885259788,hippocampus,posterior
322,322,mua,865.8847257653061,871.304094142171,thalamus,posterior
328,328,good,3520.4996977025394,460.2426666379201,v1,posterior
329,329,mua,1358.7514708220704,219.02017348913708,thalamus,posterior
330,330,mua,1260.6216856060605,205.50446597223868,thalamus,posterior
332,332,mua,731.5850750267953,528.7599593995443,thalamus,posterior
333,333,mua,2196.059881284916,61.696587528521064,hippocampus,posterior
335,335,mua,891.1876875,315.89727542652906,thalamus,posterior
337,337,mua,300.97676711309526,193.4353889615669,thalamus,posterior
343,343,mua,3192.186458333333,87.28520118442607,v1,posterior
350,350,mua,834.9333660313902,199.25629873053924,thalamus,posterior
351,351,mua,907.0985779494382,122.45071916152921,thalamus,posterior
356,356,mua,2606.6529531568226,73.89672891090125,hippocampus,posterior
358,358,mua,997.9596897972373,117.98084951814174,thalamus,posterior
365,365,good,2607.3643391705978,103.84966590645793,hippocampus,posterior
366,366,good,720.0,537.3882734063934,thalamus,posterior
368,368,mua,1040.2982382550335,163.02324044005167,thalamus,posterior
369,369,good,2416.4419451722156,65.85183313378604,hippocampus,posterior
372,372,good,1882.5626069866228,151.9593776694044,hippocampus,posterior
376,376,good,1275.6326099706746,342.14081632950143,thalamus,posterior
377,377,mua,3278.175284597449,100.87228388845361,v1,posterior
379,379,mua,2372.3991935483873,86.84787426340606,hippocampus,posterior
380,380,mua,857.676679954442,373.7019895023515,thalamus,posterior
382,382,good,558.0652214107423,151.4526827784814,thalamus,posterior
383,383,mua,853.517684659091,183.41769068123077,thalamus,posterior
384,384,good,702.7653417996222,269.4909804101969,thalamus,posterior
385,385,mua,2611.9833369400562,88.38222463751123,hippocampus,posterior
386,386,mua,78.64712229082662,245.80345907256577,thalamus,posterior
388,388,mua,1219.7872524752474,228.35610667484008,thalamus,posterior
390,390,mua,309.40905827702704,174.05889928655336,thalamus,posterior
391,391,mua,1440.5408805031448,193.93505633592446,thalamus,posterior
396,396,mua,42.10996689630491,173.12871655923277,thalamus,posterior
399,399,mua,2526.0580204778157,101.03085588551095,hippocampus,posterior
401,401,mua,853.9165798611111,155.27228338977108,thalamus,posterior
403,403,good,1768.4170441676104,204.62079442379058,hippocampus,posterior
408,408,good,1135.9989192906617,162.74814755499037,thalamus,posterior
409,409,mua,1073.3918728908886,409.69761896704796,thalamus,posterior
417,417,mua,907.0981820913462,95.39772882258279,thalamus,posterior
418,418,good,2484.751700055137,150.5807349085178,hippocampus,posterior
420,420,good,124.84767334927349,173.4897074048015,thalamus,posterior
421,421,mua,3532.935038976614,74.19862707665078,v1,posterior
423,423,good,3002.2497888513512,153.0842966677883,v1,posterior
425,425,mua,1022.8221275252525,473.4429001721152,thalamus,posterior
429,429,mua,577.984375,152.58528136176517,thalamus,posterior
433,433,mua,717.2167394301471,172.7965054316064,thalamus,posterior
436,436,mua,1039.640748031496,282.1097209453288,thalamus,posterior
437,437,good,3526.922875131165,238.36376040883184,v1,posterior
439,439,mua,2950.708592612207,55.99600368742858,v1,posterior
440,440,unsorted,1505.3547079141013,98.06311631214483,thalamus,posterior
441,441,good,800.0,139.38611817422017,thalamus,posterior
443,443,mua,1197.3040707236842,236.40391034130434,thalamus,posterior
444,444,good,546.1822939655716,200.98824267630874,thalamus,posterior
446,446,mua,2301.8953125,55.27292813993806,hippocampus,posterior
447,447,mua,2579.001451980917,124.39765641783191,hippocampus,posterior
449,449,mua,1075.8784069548872,219.31473247722977,thalamus,posterior
453,453,mua,1214.3962618670887,259.68437859102085,thalamus,posterior
454,454,good,646.7470449172577,183.61248621370612,thalamus,posterior
458,458,mua,1271.5586734693877,470.10415509015394,thalamus,posterior
459,459,mua,698.0462740384615,196.2787847050901,thalamus,posterior
462,462,mua,975.8097605519481,302.52257167742306,thalamus,posterior
464,464,mua,1220.9591370558376,181.12563040590325,thalamus,posterior
466,466,good,1195.5059127864006,163.41586358188727,thalamus,posterior
468,468,mua,1051.923828125,122.52963227203688,thalamus,posterior
470,470,mua,759.8966678176796,555.049298386865,thalamus,posterior
472,472,good,1452.2009229841608,182.79311519859004,thalamus,posterior
475,475,good,396.1287103113042,205.13523547449668,thalamus,posterior
478,478,good,1046.1993945088213,287.69779999912953,thalamus,posterior
481,481,mua,224.07937280872613,310.8341002737769,thalamus,posterior
482,482,good,797.5345838218054,274.95400226362847,thalamus,posterior
484,484,mua,1033.9917140151515,192.0840754147243,thalamus,posterior
488,488,mua,260.23786950137264,148.3798215946065,thalamus,posterior
489,489,good,1895.8169197396962,124.50804483651424,hippocampus,posterior
490,490,good,1822.6152561520703,240.59840686608615,hippocampus,posterior
492,492,mua,32.16232120289522,147.17774409100662,thalamus,posterior
494,494,mua,3151.9662243667067,85.08292039372733,v1,posterior
495,495,mua,1287.7588383838383,181.38739421046242,thalamus,posterior
497,497,good,1453.8465686042662,130.2598531259223,thalamus,posterior
502,502,good,1100.0,113.34319028286947,thalamus,posterior
504,504,mua,993.4452871819624,137.92077781838384,thalamus,posterior
506,506,good,2561.072001834442,166.00909552924912,hippocampus,posterior
508,508,mua,3317.96898417985,122.53757325587574,v1,posterior
511,511,good,2590.9926627942527,239.6437800689012,hippocampus,posterior
512,512,good,340.1107447359744,190.46419798662205,thalamus,posterior
514,514,mua,446.1245026525199,134.70438157445432,thalamus,posterior
517,517,mua,1252.2069052419354,269.2671471719637,thalamus,posterior
518,518,mua,475.089451022605,148.74617172779023,thalamus,posterior
519,519,mua,1194.6430771863768,146.53892740764041,thalamus,posterior
520,520,mua,122.60167057806323,116.49001961426868,thalamus,posterior
526,526,mua,1024.8647411616162,263.4118541819938,thalamus,posterior
528,528,mua,1317.7805728975395,149.79314289492746,thalamus,posterior
530,530,unsorted,1475.9522521515592,129.57855598895233,thalamus,posterior
533,533,mua,186.30562734962405,169.80210669216714,thalamus,posterior
537,537,mua,1319.5000828912466,304.98809804963696,thalamus,posterior
538,538,good,1495.999864901378,106.7284009579359,thalamus,posterior
539,539,good,2539.388706191863,144.88613931329468,hippocampus,posterior
541,541,mua,800.4449617214981,235.98832954954747,thalamus,posterior
545,545,mua,1971.251346153846,47.56516226737763,hippocampus,posterior
551,551,good,3158.552910811586,103.28527189851421,v1,posterior
555,555,mua,3423.249591169256,100.42172392492091,v1,posterior
557,557,mua,1249.6360561914673,478.10892593204443,thalamus,posterior
559,559,mua,622.998460310219,117.057886512561,thalamus,posterior
560,560,good,3098.9972472472473,120.49938248849297,v1,posterior
562,562,mua,2222.168885601578,467.9825086160382,hippocampus,posterior
563,563,mua,1021.7551746442432,253.8814504899878,thalamus,posterior
567,567,good,351.9840425531915,111.59628902745972,thalamus,posterior
568,568,mua,35.97347972972973,214.37146040060836,thalamus,posterior
569,569,mua,1278.0196340460527,150.3892073759701,thalamus,posterior
570,570,good,2888.2590336507187,81.65652865546818,v1,posterior
575,575,mua,879.4850232746408,147.3992599482766,thalamus,posterior
576,576,mua,1634.1474095394738,102.26500147022328,hippocampus,posterior
577,577,mua,1222.2472278225807,399.5695600009975,thalamus,posterior
580,580,mua,1250.7511269070735,375.4028996580134,thalamus,posterior
581,581,mua,2624.442427385892,156.68936520911257,hippocampus,posterior
582,582,mua,1409.415,173.09433067387715,thalamus,posterior
583,583,mua,309.4089752906977,128.27823045135398,thalamus,posterior
584,584,mua,2575.176071622355,131.30561906751365,hippocampus,posterior
585,585,good,1780.6552471812663,174.7198101153857,hippocampus,posterior
586,586,mua,189.33410714285714,119.26721421263939,thalamus,posterior
587,587,mua,854.9622896634615,135.1834997082804,thalamus,posterior
590,590,mua,1315.670695754717,80.85710625604048,thalamus,posterior
591,591,mua,3041.8490511788386,93.31984148287287,v1,posterior
593,593,mua,1977.6251385809312,47.22684371164805,hippocampus,posterior
594,594,good,2585.9360185645614,220.00588654082216,hippocampus,posterior
596,596,mua,1505.6719367588933,85.14803870232606,thalamus,posterior
598,598,mua,1407.1448965827337,129.00037492260373,thalamus,posterior
601,601,good,505.7693443591258,110.49878618292901,thalamus,posterior
605,605,mua,1217.3750862068966,258.71560605799687,thalamus,posterior
607,607,good,994.4297707889126,190.70355769011218,thalamus,posterior
608,608,unsorted,1515.9980171844018,88.0523138135058,thalamus,posterior
609,609,good,3491.704902867715,157.43801381119903,v1,posterior
611,611,mua,1398.14484375,219.38228125400656,thalamus,posterior
612,612,mua,1337.139549436796,150.2123152978853,thalamus,posterior
614,614,mua,1740.8266317016316,53.860903580164724,hippocampus,posterior
616,616,mua,480.00004727685325,109.06972205771676,thalamus,posterior
623,623,mua,2488.3766741071427,72.03504362009384,hippocampus,posterior
628,628,mua,118.50001094427176,169.81107341721113,thalamus,posterior
633,633,good,1793.0805332359387,287.7461639962437,hippocampus,posterior
635,635,good,110.09823824002862,219.42393806899426,thalamus,posterior
636,636,mua,3340.992960225273,134.24594807475313,v1,posterior
638,638,good,854.6279757391964,173.66693796883308,thalamus,posterior
640,640,mua,2573.767387616624,261.9332869764568,hippocampus,posterior
642,642,mua,36.202164817090804,185.1859064314567,thalamus,posterior
644,644,good,2850.1759403170654,108.50011970743833,v1,posterior
645,645,mua,475.7207135025723,129.25755754048384,thalamus,posterior
649,649,mua,3070.5332296929655,97.99532860993261,v1,posterior
651,651,mua,140.84956951530611,123.86896310056157,thalamus,posterior
652,652,good,2578.9845544554455,158.67060333454418,hippocampus,posterior
654,654,mua,1286.2506403688524,179.65492480601102,thalamus,posterior
655,655,mua,1902.2772854477612,156.27670637922728,hippocampus,posterior
657,657,good,3045.9164324048047,70.11070647557128,v1,posterior
659,659,mua,3312.3709935897436,124.98183335196983,v1,posterior
660,660,mua,1463.15672063253,217.10225753242744,thalamus,posterior
662,662,mua,723.2730894777266,531.5956572142378,thalamus,posterior
